Noise FailRate
0.0050000000 0.0000007000
0.0051000000 0.0000013000
0.0052000000 0.0000004000
0.0053000000 0.0000011000
0.0054000000 0.0000009000
0.0055000000 0.0000007000
0.0056000000 0.0000007000
0.0057000000 0.0000004000
0.0058000000 0.0000011000
0.0059000000 0.0000011000
0.0060000000 0.0000009000
0.0061000000 0.0000017000
0.0062000000 0.0000012000
0.0063000000 0.0000008000
0.0064000000 0.0000011000
0.0065000000 0.0000018000
0.0066000000 0.0000015000
0.0067000000 0.0000006000
0.0068000000 0.0000014000
0.0069000000 0.0000013000
0.0070000000 0.0000013000
0.0071000000 0.0000016000
0.0072000000 0.0000009000
0.0073000000 0.0000017000
0.0074000000 0.0000020000
0.0075000000 0.0000017000
0.0076000000 0.0000012000
0.0077000000 0.0000019000
0.0078000000 0.0000018000
0.0079000000 0.0000016000
0.0080000000 0.0000011000
0.0081000000 0.0000012000
0.0082000000 0.0000019000
0.0083000000 0.0000017000
0.0084000000 0.0000014000
0.0085000000 0.0000015000
0.0086000000 0.0000023000
0.0087000000 0.0000022000
0.0088000000 0.0000025000
0.0089000000 0.0000012000
0.0090000000 0.0000019000
0.0091000000 0.0000019000
0.0092000000 0.0000025000
0.0093000000 0.0000025000
0.0094000000 0.0000020000
0.0095000000 0.0000030000
0.0096000000 0.0000026000
0.0097000000 0.0000031000
0.0098000000 0.0000030000
0.0099000000 0.0000024000
