Noise FailRate
0.0005000000 0.0000000010
0.0006000000 0.0000000030
0.0007000000 0.0000000030
0.0008000000 0.0000000090
0.0009000000 0.0000000110
0.0010000000 0.0000000070
0.0011000000 0.0000000290
0.0012000000 0.0000000370
0.0013000000 0.0000000320
0.0014000000 0.0000000410
0.0015000000 0.0000000590
0.0016000000 0.0000000710
0.0017000000 0.0000000720
0.0018000000 0.0000000860
0.0019000000 0.0000000790
0.0020000000 0.0000001060
0.0021000000 0.0000001160
0.0022000000 0.0000001230
0.0023000000 0.0000001710
0.0024000000 0.0000001860
0.0025000000 0.0000002100
0.0026000000 0.0000002190
0.0027000000 0.0000002690
0.0028000000 0.0000002510
0.0029000000 0.0000002850
0.0030000000 0.0000003240
0.0031000000 0.0000003680
0.0032000000 0.0000003660
0.0033000000 0.0000004030
0.0034000000 0.0000004310
0.0035000000 0.0000004230
0.0036000000 0.0000005130
0.0037000000 0.0000005300
0.0038000000 0.0000005300
0.0039000000 0.0000005900
0.0040000000 0.0000006290
0.0041000000 0.0000006730
0.0042000000 0.0000006990
0.0043000000 0.0000007680
0.0044000000 0.0000007660
0.0045000000 0.0000008380
0.0046000000 0.0000009130
0.0047000000 0.0000008820
0.0048000000 0.0000009630
0.0049000000 0.0000010210
0.0050000000 0.0000010540
0.0051000000 0.0000010650
0.0052000000 0.0000010970
0.0053000000 0.0000011730
0.0054000000 0.0000012170
0.0055000000 0.0000013110
0.0056000000 0.0000013650
0.0057000000 0.0000013960
0.0058000000 0.0000014860
0.0059000000 0.0000015300
0.0060000000 0.0000015810
0.0061000000 0.0000016210
0.0062000000 0.0000016910
0.0063000000 0.0000017010
0.0064000000 0.0000018060
0.0065000000 0.0000019030
0.0066000000 0.0000019140
0.0067000000 0.0000018950
0.0068000000 0.0000019520
0.0069000000 0.0000020690
0.0070000000 0.0000021480
0.0071000000 0.0000022310
0.0072000000 0.0000022140
0.0073000000 0.0000023240
0.0074000000 0.0000022500
0.0075000000 0.0000025020
0.0076000000 0.0000025350
0.0077000000 0.0000025400
0.0078000000 0.0000025680
0.0079000000 0.0000026000
0.0080000000 0.0000027080
0.0081000000 0.0000029580
0.0082000000 0.0000028810
0.0083000000 0.0000029800
0.0084000000 0.0000030570
0.0085000000 0.0000029970
0.0086000000 0.0000030990
0.0087000000 0.0000031820
0.0088000000 0.0000031820
0.0089000000 0.0000033060
0.0090000000 0.0000032400
0.0091000000 0.0000034230
0.0092000000 0.0000034750
0.0093000000 0.0000034910
0.0094000000 0.0000035990
0.0095000000 0.0000036730
0.0096000000 0.0000037420
0.0097000000 0.0000038630
0.0098000000 0.0000037410
0.0099000000 0.0000038590
0.0100000000 0.0000041260
0.0101000000 0.0000040140
0.0102000000 0.0000041080
0.0103000000 0.0000041470
0.0104000000 0.0000042410
