Noise FailRate
0.0005000000 0.0000000200
0.0006000000 0.0000000350
0.0007000000 0.0000000420
0.0008000000 0.0000000550
0.0009000000 0.0000000850
0.0010000000 0.0000000800
0.0011000000 0.0000000960
0.0012000000 0.0000001330
0.0013000000 0.0000001520
0.0014000000 0.0000001730
0.0015000000 0.0000002030
0.0016000000 0.0000002270
0.0017000000 0.0000002740
0.0018000000 0.0000003050
0.0019000000 0.0000003530
0.0020000000 0.0000003820
0.0021000000 0.0000004500
0.0022000000 0.0000004850
0.0023000000 0.0000005260
0.0024000000 0.0000005480
0.0025000000 0.0000006390
0.0026000000 0.0000006410
0.0027000000 0.0000007690
0.0028000000 0.0000007380
0.0029000000 0.0000008440
0.0030000000 0.0000008760
0.0031000000 0.0000009630
0.0032000000 0.0000010080
0.0033000000 0.0000010180
0.0034000000 0.0000011730
0.0035000000 0.0000011480
0.0036000000 0.0000013570
0.0037000000 0.0000013410
0.0038000000 0.0000014670
0.0039000000 0.0000015000
0.0040000000 0.0000016360
0.0041000000 0.0000016690
0.0042000000 0.0000017230
0.0043000000 0.0000018070
0.0044000000 0.0000019040
0.0045000000 0.0000019910
0.0046000000 0.0000021130
0.0047000000 0.0000021520
0.0048000000 0.0000022530
0.0049000000 0.0000024030
0.0050000000 0.0000024240
0.0051000000 0.0000025540
0.0052000000 0.0000026450
0.0053000000 0.0000027010
0.0054000000 0.0000028020
0.0055000000 0.0000029690
0.0056000000 0.0000030510
0.0057000000 0.0000030610
0.0058000000 0.0000033290
0.0059000000 0.0000033480
0.0060000000 0.0000033730
0.0061000000 0.0000035660
0.0062000000 0.0000036040
0.0063000000 0.0000038100
0.0064000000 0.0000038710
0.0065000000 0.0000039070
0.0066000000 0.0000041150
0.0067000000 0.0000042200
0.0068000000 0.0000043040
0.0069000000 0.0000043850
0.0070000000 0.0000044560
0.0071000000 0.0000046950
0.0072000000 0.0000048370
0.0073000000 0.0000047980
0.0074000000 0.0000048190
0.0075000000 0.0000052560
0.0076000000 0.0000052920
0.0077000000 0.0000054640
0.0078000000 0.0000054680
0.0079000000 0.0000056720
0.0080000000 0.0000058770
0.0081000000 0.0000059110
0.0082000000 0.0000060380
0.0083000000 0.0000060470
0.0084000000 0.0000061930
0.0085000000 0.0000062120
0.0086000000 0.0000065930
0.0087000000 0.0000065760
0.0088000000 0.0000066880
0.0089000000 0.0000067680
0.0090000000 0.0000069940
0.0091000000 0.0000072160
0.0092000000 0.0000071980
0.0093000000 0.0000075120
0.0094000000 0.0000075050
0.0095000000 0.0000075340
0.0096000000 0.0000075780
0.0097000000 0.0000078520
0.0098000000 0.0000080820
0.0099000000 0.0000081150
0.0100000000 0.0000079430
0.0101000000 0.0000081820
0.0102000000 0.0000084820
0.0103000000 0.0000085180
0.0104000000 0.0000086920
