Noise FailRate
0.0000500000 0.0000000000
0.0001000000 0.0000000020
0.0001500000 0.0000000030
0.0002000000 0.0000000010
0.0002500000 0.0000000080
0.0003000000 0.0000000090
0.0003500000 0.0000000080
0.0004000000 0.0000000090
0.0004500000 0.0000000190
0.0005000000 0.0000000240
0.0005500000 0.0000000330
0.0006000000 0.0000000260
0.0010500000 0.0000000910
0.0011500000 0.0000001020
0.0012000000 0.0000001310
0.0012500000 0.0000001220
0.0013000000 0.0000001490
0.0013500000 0.0000001630
0.0014000000 0.0000001650
0.0014500000 0.0000001650
0.0015000000 0.0000002060
0.0015500000 0.0000001950
0.0016000000 0.0000002230
0.0016500000 0.0000002420
