Noise FailRate
0.0010000000 0.0007795110
0.0011000000 0.0008251170
0.0012000000 0.0008688460
0.0013000000 0.0009034860
0.0014000000 0.0009401170
0.0015000000 0.0009715560
0.0016000000 0.0009964200
0.0017000000 0.0010214150
0.0018000000 0.0010412180
0.0019000000 0.0010614320
0.0020000000 0.0010775240
0.0021000000 0.0010866860
0.0022000000 0.0010999060
0.0023000000 0.0011071520
0.0024000000 0.0011138450
0.0025000000 0.0011172770
0.0026000000 0.0011213260
0.0027000000 0.0011202830
0.0028000000 0.0011192890
0.0029000000 0.0011195820
0.0030000000 0.0011140410
0.0031000000 0.0011125620
0.0032000000 0.0011064730
0.0033000000 0.0010990200
0.0034000000 0.0010916440
0.0035000000 0.0010826310
0.0036000000 0.0010742970
0.0037000000 0.0010636380
0.0038000000 0.0010537220
0.0039000000 0.0010417600
0.0040000000 0.0010323640
0.0041000000 0.0010172020
0.0042000000 0.0010061990
0.0043000000 0.0009932710
0.0044000000 0.0009810170
0.0045000000 0.0009679110
0.0046000000 0.0009522560
0.0047000000 0.0009396540
0.0048000000 0.0009259100
0.0049000000 0.0009103850
0.0050000000 0.0008962970
0.0051000000 0.0008822140
0.0052000000 0.0008666080
0.0053000000 0.0008530020
0.0054000000 0.0008372180
0.0055000000 0.0008229700
0.0056000000 0.0008075790
0.0057000000 0.0007937190
0.0058000000 0.0007789050
0.0059000000 0.0007642960
0.0060000000 0.0007493040
0.0061000000 0.0007361280
0.0062000000 0.0007219860
0.0063000000 0.0007076170
0.0064000000 0.0006934040
0.0065000000 0.0006797690
0.0066000000 0.0006663950
0.0067000000 0.0006513090
0.0068000000 0.0006398920
0.0069000000 0.0006254500
0.0070000000 0.0006110430
0.0071000000 0.0005988350
0.0072000000 0.0005865300
0.0073000000 0.0005736690
0.0074000000 0.0005614840
0.0075000000 0.0005484340
0.0076000000 0.0005359050
0.0077000000 0.0005244690
0.0078000000 0.0005137170
0.0079000000 0.0005009820
0.0080000000 0.0004900110
0.0081000000 0.0004795290
0.0082000000 0.0004689250
0.0083000000 0.0004565250
0.0084000000 0.0004474450
0.0085000000 0.0004364230
0.0086000000 0.0004263350
0.0087000000 0.0004168780
0.0088000000 0.0004078310
0.0089000000 0.0003971820
0.0090000000 0.0003885620
0.0091000000 0.0003793170
0.0092000000 0.0003693320
0.0093000000 0.0003616150
0.0094000000 0.0003526350
0.0095000000 0.0003438850
0.0096000000 0.0003351620
0.0097000000 0.0003270500
0.0098000000 0.0003194100
0.0099000000 0.0003121670
0.0100000000 0.0003055560
0.0101000000 0.0002959340
0.0102000000 0.0002894720
0.0103000000 0.0002822930
0.0104000000 0.0002746940
0.0105000000 0.0002689090
0.0106000000 0.0002613670
0.0107000000 0.0002551250
0.0108000000 0.0002489080
0.0109000000 0.0002422180
