Noise FailRate
0.0010000000 0.0000000000
0.0011000000 0.0000000100
0.0012000000 0.0000000300
0.0013000000 0.0000000500
0.0014000000 0.0000000300
0.0015000000 0.0000000300
0.0016000000 0.0000000600
0.0017000000 0.0000000500
0.0018000000 0.0000000500
0.0019000000 0.0000000900
0.0020000000 0.0000000500
0.0021000000 0.0000001000
0.0022000000 0.0000001100
0.0023000000 0.0000001900
0.0024000000 0.0000002100
0.0025000000 0.0000001500
0.0026000000 0.0000001100
0.0027000000 0.0000001800
0.0028000000 0.0000002900
0.0029000000 0.0000002200
0.0030000000 0.0000003100
0.0031000000 0.0000003300
0.0032000000 0.0000004500
0.0033000000 0.0000002800
0.0034000000 0.0000004500
0.0035000000 0.0000004100
0.0036000000 0.0000004600
0.0037000000 0.0000006100
0.0038000000 0.0000005400
0.0039000000 0.0000005400
0.0040000000 0.0000005900
0.0041000000 0.0000006800
0.0042000000 0.0000005500
0.0043000000 0.0000006500
0.0044000000 0.0000006700
0.0045000000 0.0000008000
0.0046000000 0.0000007800
0.0047000000 0.0000009500
0.0048000000 0.0000007600
0.0049000000 0.0000008800
0.0050000000 0.0000009200
0.0051000000 0.0000011100
0.0052000000 0.0000011300
0.0053000000 0.0000012300
0.0054000000 0.0000011300
0.0055000000 0.0000010100
0.0056000000 0.0000010800
0.0057000000 0.0000012900
0.0058000000 0.0000013300
0.0059000000 0.0000015500
0.0060000000 0.0000012900
0.0061000000 0.0000017500
0.0062000000 0.0000016400
0.0063000000 0.0000014100
0.0064000000 0.0000017100
0.0065000000 0.0000016000
0.0066000000 0.0000018200
0.0067000000 0.0000019100
0.0068000000 0.0000019900
0.0069000000 0.0000020600
0.0070000000 0.0000020900
0.0071000000 0.0000022500
0.0072000000 0.0000024100
0.0073000000 0.0000022900
0.0074000000 0.0000023700
0.0075000000 0.0000022200
0.0076000000 0.0000023600
0.0077000000 0.0000024600
0.0078000000 0.0000026400
0.0079000000 0.0000025000
0.0080000000 0.0000026800
0.0081000000 0.0000026900
0.0082000000 0.0000027200
0.0083000000 0.0000028900
0.0084000000 0.0000028900
0.0085000000 0.0000029500
0.0086000000 0.0000027800
0.0087000000 0.0000029900
0.0088000000 0.0000033600
0.0089000000 0.0000032400
0.0090000000 0.0000036100
0.0091000000 0.0000035500
0.0092000000 0.0000035400
0.0093000000 0.0000033800
0.0094000000 0.0000037200
0.0095000000 0.0000036600
0.0096000000 0.0000037000
0.0097000000 0.0000034400
0.0098000000 0.0000043300
0.0099000000 0.0000040300
0.0100000000 0.0000036800
0.0101000000 0.0000040700
0.0102000000 0.0000040700
0.0103000000 0.0000041100
0.0104000000 0.0000043800
0.0105000000 0.0000041800
0.0106000000 0.0000042100
0.0107000000 0.0000048400
0.0108000000 0.0000044400
0.0109000000 0.0000044500
